run,AMP,AMC,FOX,CRO,TIO,GEN,FIS,SXT,AZM,CHL,CIP,NAL,TET
SRR3665095,2.0000,2.0000,8.0000,<=0.2500,1.0000,0.5000,32.0000,8.0000,8.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407635,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,64.0000,<=0.1250,8.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407681,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,<=4.0000
SRR2407606,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407745,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407647,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,1.0000,<=16.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407596,2.0000,<=1.0000,4.0000,<=0.2500,2.0000,0.5000,32.0000,<=0.1250,8.0000,8.0000,0.0300,2.0000,>=32.0000
SRR2407714,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,8.0000,8.0000,0.0300,2.0000,<=4.0000
SRR2407713,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,8.0000,8.0000,0.0300,2.0000,<=4.0000
SRR2407711,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,64.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407677,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407548,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407676,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407746,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,1.0000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407561,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407668,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,8.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407554,<=1.0000,<=1.0000,4.0000,<=0.2500,2.0000,1.0000,<=16.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407744,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,8.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407737,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,<=16.0000,<=0.1250,4.0000,8.0000,0.0300,4.0000,>=32.0000
SRR2407614,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,8.0000,8.0000,0.0300,4.0000,<=4.0000
SRR2407592,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,1.0000,32.0000,<=0.1250,8.0000,8.0000,0.0300,4.0000,<=4.0000
SRR2407651,<=1.0000,<=1.0000,8.0000,<=0.2500,1.0000,0.5000,64.0000,<=0.1250,8.0000,8.0000,0.0300,4.0000,>=32.0000
SRR2407641,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,1.0000,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR3665116,2.0000,2.0000,4.0000,<=0.2500,1.0000,2.0000,32.0000,16.0000,4.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407695,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,4.0000,<=4.0000
SRR2407553,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,4.0000,<=4.0000
SRR2407782,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,4.0000,<=4.0000
SRR2407563,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407557,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
