run,AMP,AMC,FOX,CRO,TIO,GEN,FIS,SXT,AZM,CHL,CIP,NAL,TET
SRR2407743,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407562,>=32.0000,>=32.0000,16.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407559,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR3665196,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,2.0000,>=256.0000,32.0000,4.0000,8.0000,0.0300,4.0000,>=32.0000
SRR2407639,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,1.0000,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407775,>=32.0000,>=32.0000,16.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407786,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407771,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407604,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407768,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407576,>=32.0000,>=32.0000,16.0000,4.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR3665297,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,0.5000,>=256.0000,8.0000,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR3665136,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,0.5000,>=256.0000,8.0000,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407669,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,2.0000,<=16.0000,<=0.1250,8.0000,8.0000,0.0300,2.0000,<=4.0000
SRR3664865,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,32.0000,8.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407640,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,<=0.2500,32.0000,<=0.1250,2.0000,<=2.0000,<=0.0150,4.0000,>=32.0000
SRR2407686,2.0000,<=1.0000,4.0000,<=0.2500,2.0000,0.5000,>=256.0000,<=0.1250,4.0000,8.0000,0.0300,2.0000,>=32.0000
SRR2407799,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407773,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407765,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407609,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407672,>=32.0000,>=32.0000,16.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407646,>=32.0000,8.0000,4.0000,<=0.2500,0.5000,>=16.0000,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407556,>=32.0000,>=32.0000,16.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407560,>=32.0000,>=32.0000,16.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407696,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,0.5000,>=256.0000,<=0.1250,8.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407772,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407780,2.0000,2.0000,8.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407685,2.0000,<=1.0000,8.0000,<=0.2500,2.0000,0.5000,>=256.0000,<=0.1250,8.0000,8.0000,0.0300,4.0000,>=32.0000
SRR2407774,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407778,<=1.0000,2.0000,2.0000,<=0.2500,0.5000,8.0000,32.0000,1.0000,4.0000,4.0000,<=0.0150,4.0000,<=4.0000
SRR2407658,>=32.0000,>=32.0000,>=32.0000,>=64.0000,>=8.0000,>=16.0000,>=256.0000,0.2500,4.0000,>=32.0000,0.0600,2.0000,<=4.0000
SRR2407636,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407789,>=32.0000,16.0000,4.0000,<=0.2500,1.0000,>=16.0000,>=256.0000,<=0.1250,2.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407699,>=32.0000,16.0000,8.0000,<=0.2500,2.0000,0.5000,>=256.0000,<=0.1250,4.0000,8.0000,0.0300,2.0000,>=32.0000
SRR2407684,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407720,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,8.0000,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407791,>=32.0000,2.0000,4.0000,>=64.0000,>=8.0000,8.0000,<=16.0000,<=0.1250,2.0000,>=32.0000,0.1200,>=32.0000,>=32.0000
SRR2566900,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,2.0000,<=2.0000,<=0.0150,<=1.0000,<=4.0000
SRR3664606,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,<=4.0000
SRR3664933,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,1.0000,32.0000,invalid,4.0000,8.0000,0.0300,2.0000,<=4.0000
SRR3665205,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,1.0000,32.0000,invalid,4.0000,8.0000,0.0300,2.0000,<=4.0000
SRR2567117,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2567209,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2567211,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2567092,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2567145,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,32.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2566874,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,1.0000,64.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2566858,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2567177,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3664616,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,1.0000,32.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR2566945,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3665271,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3664648,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3664946,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,32.0000,invalid,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3665162,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,0.5000,32.0000,invalid,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3665195,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,invalid,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3664664,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,32.0000,invalid,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
